Link,Urun_adi,Puan,Degerlendirme,Fiyatlar
https://www.amazon.com.tr/Einhell-18V-Starter-Ba%C5%9Flang%C4%B1%C3%A7-Seti/dp/B01M3SPEZF/ref=zg_bs_g_garden_sccl_1/000-0000000-0000000?psc=1,"Einhell 18V 4,0 Ah PXC Starter Kit (Başlangıç Seti)",4.7,23496,1139.0
https://www.amazon.com.tr/Flora-Topra%C4%9F%C4%B1-Perlit-Katk%C4%B1l%C4%B1-Toprak/dp/B08LRLSJLD/ref=zg_bs_g_garden_sccl_2/000-0000000-0000000?psc=1,Vera İthal Torf Cocopeat Saksı Çiçek Toprağı Perlit Katkılı 10 Litre Toprak,4.4,148,79.9
https://www.amazon.com.tr/Bayer-Othrine-Hamam-B%C3%B6ce%C4%9Fi-%C4%B0lac%C4%B1/dp/B00JRVU9NG/ref=zg_bs_g_garden_sccl_3/000-0000000-0000000?psc=1,Bayer K Othrine 50 ml Hamam Böceği İlacı,4.6,137,79.0
https://www.amazon.com.tr/K%C4%B1rm%C4%B1z%C4%B1-Pomza-12-18-Litre-Volkanik/dp/B09FFHZMJP/ref=zg_bs_g_garden_sccl_4/000-0000000-0000000?psc=1,Kırmızı Pomza Taşı 8-16 Mm 5 Litre Volkanik Ponza Lav Taşı,4.4,27,49.9
https://www.amazon.com.tr/Karcher-Bas%C4%B1n%C3%A7l%C4%B1-Makinesi-Plastik-275x279x803/dp/B00J4JQLLK/ref=zg_bs_g_garden_sccl_5/000-0000000-0000000?psc=1,"Karcher K3 Basınçlı Yıkama Makinesi, Plastik, Siyah/Sarı, 275X279X803 mm",4.4,56,1799.0
https://www.amazon.com.tr/Mountain-Grillers-paslanmaz-t%C3%BCts%C3%BCleme-aksesuar%C4%B1/dp/B07Z682HGF/ref=zg_bs_g_garden_sccl_6/000-0000000-0000000?psc=1,"Mountain Grillers BBQ için paslanmaz çelik tütsü kutusu, mangal yaparken harika bir aroma için tütsüleme kutusu, küre, kömür ve gazlı mangal için, pratik katlanır kapaklı sağlam mangal aksesuarı",4.5,435,11.0
https://www.amazon.com.tr/Lava-Metal-8680215496465-Mangal-Izgaras%C4%B1/dp/B07DQ4M185/ref=zg_bs_g_garden_sccl_7/000-0000000-0000000?psc=1,"Lava Döküm Mangal Izgarası, 36x45 cm",4.6,180,631.81
https://www.amazon.com.tr/Bosch-Professional-GBL-800E-%C3%9Cfleyici/dp/B07CZGXXBQ/ref=zg_bs_g_garden_sccl_8/000-0000000-0000000?psc=1,"Bosch Professional GBL 800E CE Üfleyici (820 W, Hacimsel debi: 4,5 m³/dak)",4.3,58,1665.18
https://www.amazon.com.tr/Mekan-Bitki-Topra%C4%9F%C4%B1-Litre-Toprak/dp/B09FFHDZW3/ref=zg_bs_g_garden_sccl_9/000-0000000-0000000?psc=1,Vera Iç Mekan Bitki Toprağı 10 Litre Iç Mekan Çiçek Toprağı Toprak Harcı,4.3,38,79.9
https://www.amazon.com.tr/Yeti%C5%9Ftirme-Topra%C4%9F%C4%B1-%C3%87imlendirme-Cocopeat-Kar%C4%B1%C5%9F%C4%B1ml%C4%B1/dp/B09FFH6JK1/ref=zg_bs_g_garden_sccl_10/000-0000000-0000000?psc=1,"Fide Yetiştirme Toprağı 10 Litre Tohum Çimlendirme Harcı Cocopeat, Perlit, Solucan Gübresi Karışımlı",4.3,23,59.9
https://www.amazon.com.tr/Einhell-Fastcharger-Ak%C3%BC-%C5%9Earj-Cihaz%C4%B1/dp/B08YNL95BH/ref=zg_bs_g_garden_sccl_11/000-0000000-0000000?psc=1,"Einhell 18V 5,2 Ah & 4A Fastcharger, Akü & Şarj Cihazı",4.6,724,2120.16
https://www.amazon.com.tr/Bayer-K-Othrine-Genel-B%C3%B6cek-Ha%C5%9Fere/dp/B07HP7WF98/ref=zg_bs_g_garden_sccl_12/000-0000000-0000000?psc=1,Bayer K-Othrine AL 1 Lt Genel Böcek Haşere İlacı,4.4,21,145.0
https://www.amazon.com.tr/Einhell-GE-WS-Li-Solo-Ak%C3%BCl%C3%BC-%C4%B0la%C3%A7lama/dp/B083Y9YLS8/ref=zg_bs_g_garden_sccl_13/000-0000000-0000000?psc=1,"Einhell GE-WS 18/75 Li - Solo, Akülü İlaçlama Pompası",4.3,948,1855.63
